stock_name,2013,2014,2015,2016,2017,2018,2019,2020
남선알미늄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남성,,,,,,,,
남양유업,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
남해화학,50.0,60.0,60.0,45.0,80.0,50.0,60.0,80.0
남화산업,,,,0.0,5000.0,40.0,50.0,100.0
남화토건,100.0,100.0,70.0,100.0,100.0,70.0,70.0,100.0
내츄럴엔도텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
네오리진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
네오셈,,,,,,,,
네오오토,0.0,0.0,0.0,150.0,80.0,60.0,50.0,50.0
네오위즈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
네오위즈홀딩스,0.0,0.0,330.0,0.0,0.0,0.0,123.0,0.0
네오이뮨텍(Reg.S),,,,,,,,
네오크레마,,,,,,,0.0,0.0
네오티스,350.0,350.0,350.0,350.0,350.0,250.0,250.0,250.0
네오팜,100.0,250.0,250.0,350.0,500.0,650.0,750.0,650.0
네오펙트,,,,0.0,0.0,0.0,0.0,0.0
네온테크,,,,,,,,
네이블,,,,,,,,
네이처셀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
네패스,0.0,0.0,50.0,0.0,100.0,100.0,270.0,0.0
네패스아크,,,,,,,0.0,0.0
넥센,,,,,,,,
넥센타이어,65.0,75.0,80.0,100.0,100.0,100.0,105.0,105.0
넥스턴바이오,100.0,100.0,60.0,150.0,200.0,100.0,100.0,0.0
넥스트BT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
넥스트사이언스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
넥스트아이,75.0,50.0,50.0,75.0,6.0,7.0,0.0,0.0
넥스틴,,,,,,,0.0,0.0
넥슨지티,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
넵튠,,,,,,,,
넷게임즈,,,,,,,,
넷마블,,,,,,,,
노랑풍선,,,,0.0,0.0,370.0,200.0,0.0
노루페인트,200.0,200.0,200.0,200.0,250.0,250.0,275.0,275.0
